"00000001","00000002","00000002","1","2019-11-03",
"00000003","00000001","00000003","2","2019-01-10",
"00000004","00000006","00000004","2","2019-04-03",
"00000001","00000010","00000005","1","2019-11-20",
"00000003","00000008","00000002","1","2019-02-28",
"00000003","00000007","00000003","3","2019-07-23",
"00000001","00000004","00000008","2","2019-11-21",
"00000002","00000003","00000009","1","2019-06-05",
"00000003","00000005","00000010","2","2019-08-17",
"00000004","00000006","00000007","3","2019-05-18",
"00000002","00000008","00000006","1","2019-11-19",
"00000003","00000010","00000004","2","2019-12-10",
"00000001","00000009","00000005","3","2019-11-05",
"00000002","00000001","00000002","1","2019-12-04",
"00000001","00000002","00000001","1","2019-10-02",
