"00000001","6.34","6.52","6.78","4.67","5.67","6.78","7.89",
"00000002","3.56","7.53","5.45","4.56","6.78","9.87","3.45",
"00000003","5.67","6.23","6.78","4.67","5.67","6.78","7.89",
"00000004","4.56","5.50","5.45","4.56","6.78","9.87","3.45",
"00000005","4.56","5.53","3.45","5.45","4.34","5.67","2.45",
"00000006","2.97","4.97","5.67","5.67","9.67","6.78","3.56",
"00000007","7.89","5.45","4.56","6.78","7.56","3.56","4.56",
"00000008","6.78","8.50","5.67","5.67","9.67","6.78","3.56",
"00000009","4.67","4.45","4.56","6.78","7.56","3.56","4.56",
"00000010","3.67","3.98","4.34","6.78","7.65","6.78","4.56",
